y/m/d,high(Åé),low(Åé),max_precipitation_10min(mm),daylight_hours(hours)
01/01/1984,10.1,0.9,0,8.5
02/01/1984,8.9,0.3,0,7
03/01/1984,7.7,0.9,1,4.1
04/01/1984,10.9,1.5,0.5,6.5
05/01/1984,7.6,1.9,0,8.6
06/01/1984,9.3,1.3,0,8.7
07/01/1984,8.7,0.2,0,8.5
08/01/1984,7.1,-0.2,0,8.3
09/01/1984,9.7,-0.9,0,7.9
10/01/1984,11.4,-0.2,0,8.8
11/01/1984,9,3.1,0,5.8
12/01/1984,7.6,1.3,0,7.1
13/01/1984,8.7,-1.1,0,8.5
14/01/1984,9.5,1.6,0,8.1
15/01/1984,14.6,0.7,0.5,6.1
16/01/1984,7.2,0.7,0,5.1
17/01/1984,7.4,-0.3,0,8.6
18/01/1984,7.2,0.6,0,8.7
19/01/1984,2.9,-0.7,0.5,0
20/01/1984,2.9,-2,0,8.9
21/01/1984,0.7,-2.5,0.5,0
22/01/1984,4.7,0.3,0.5,0.5
23/01/1984,8.3,0.2,0,7.3
24/01/1984,6.5,0.8,0,7.7
25/01/1984,6.1,-1.5,0,6
26/01/1984,6.7,-0.3,0,8.7
27/01/1984,8.4,-1.3,0,9.2
28/01/1984,6.9,0,0,8.9
29/01/1984,6.2,0.5,0,9.6
30/01/1984,5.9,-0.8,0,7.1
31/01/1984,3.5,-0.1,1,0
01/02/1984,8.2,0.2,0,6.6
02/02/1984,12.8,-0.2,0,8.4
03/02/1984,7.3,-1,0,5.7
04/02/1984,2.8,-2.9,0,9.1
05/02/1984,4.7,-2.1,0,3.8
06/02/1984,2.3,-1.2,0,3.8
07/02/1984,3.2,-3.1,0,9.6
08/02/1984,4.9,-2.8,0,9.5
09/02/1984,6.2,-3.5,0,9.7
10/02/1984,5.9,-0.6,0,9.8
11/02/1984,6.6,1.1,0,8.2
12/02/1984,4.7,0.4,0.5,0
13/02/1984,5.6,0.9,0.5,0
14/02/1984,7.5,2.7,0,3.5
15/02/1984,6.6,0.9,0,5.2
16/02/1984,6.7,-0.4,0,9.6
17/02/1984,4.2,-0.7,1,0.5
18/02/1984,5,-0.9,0.5,8.8
19/02/1984,6.2,-1.2,0,9.9
20/02/1984,5.6,0.4,0,4
21/02/1984,8.5,-0.3,0,9.3
22/02/1984,8.8,1.8,0,7.8
23/02/1984,4.5,1.4,1,0
24/02/1984,10.3,3.9,0,9.5
25/02/1984,7,3.2,0,3.3
26/02/1984,4.9,0.9,1,0
27/02/1984,9.4,2.1,0,8.8
28/02/1984,6.7,0.7,0,9.5
29/02/1984,6.9,-0.8,0,8.6
01/03/1984,7.3,-1.5,0,8.9
02/03/1984,10.6,0.1,0,9.8
03/03/1984,10.4,2,0.5,6.4
04/03/1984,8.3,1.2,0.5,6.1
05/03/1984,8.6,1,0,7.2
06/03/1984,9.9,0.8,0,7.6
07/03/1984,10.2,1.6,0,8.5
08/03/1984,10.8,2.6,0,7.2
09/03/1984,9.4,2.6,0,6.6
10/03/1984,6.1,2,0.5,1.2
11/03/1984,9.1,3.2,0,10.1
12/03/1984,12.5,0.4,0,10.3
13/03/1984,9.5,2.2,0,7.2
14/03/1984,3.7,0.6,0.5,0
15/03/1984,8.7,1.4,0,7.7
16/03/1984,5.6,1.2,0.5,0
17/03/1984,12.2,3,0,7.3
18/03/1984,12.7,1.5,0,10.5
19/03/1984,5.7,1,0.5,0
20/03/1984,5.3,0.9,0.5,0
21/03/1984,9.7,2.2,0,7.4
22/03/1984,8.3,1.1,0,10.6
23/03/1984,9.2,0.3,0,10.4
24/03/1984,10.2,2.2,0.5,2.8
25/03/1984,14.1,3,0,9.5
26/03/1984,13.1,5.8,0,8.6
27/03/1984,13.1,4.2,0,7
28/03/1984,6.5,2.4,0.5,1.7
29/03/1984,17,2.1,0,10.3
30/03/1984,19.1,6.8,0,9.4
31/03/1984,18.8,2.7,1,5.4
01/04/1984,4.3,1.8,0.5,0
02/04/1984,11.1,3.4,0,6
03/04/1984,10.4,3.4,0,0
04/04/1984,17,5.4,0.5,8.6
05/04/1984,15,11.5,1.5,0
